City,Mode,Call Sign,Output,Input,Access,Coordinator
927 HUB,FM,K5TRA,927,*,*,*
ABERNATHY,FM,WB5BRY,146.76,DOWN,179.9 HZ,*
ABILENE,DMR/MARC,KF5JJK,443.6625,UP,CC14,*
ABILENE,DMR/MARC,KF5JJK,443.9625,UP,CC14,*
ABILENE,DSTAR,KG5MMTB,441.175,UP,*,*
ABILENE,DSTAR,KF5JJKB,444.5,UP,*,*
ABILENE,DSTAR,KG5MMUB,444.825,UP,*,*
ABILENE,FM,N5TEQ,52.65,51.65,88.5 HZ,*
ABILENE,FM,NZ5V,53.03,52.03,167.9 HZ,*
ABILENE,FM,KC5PPI,145.35,DOWN,110.9 HZ,*
ABILENE,FM,KI5ZS,145.49,DOWN,88.5 HZ,*
ABILENE,FM,KC5OLO,146.76,DOWN,146.2 HZ,*
ABILENE,FM,W5TNJ,146.8,DOWN,88.5 HZ,*
ABILENE,FM,KE7JHC,441.05,UP,*,*
ABILENE,FM,NZ5V,443.85,UP,88.5 HZ,*
ABILENE,FM,KD5YCY,444,UP,167.9 HZ,*
ABILENE,FM,N5TEQ,444.25,UP,88.5 HZ,*
ABILENE,FM,KB5GAR,444.75,UP,88.5 HZ,*
ABILENE,FM,KE5OGP,444.875,UP,114.8 HZ,*
ABILENE,FM,N5TEQ,927.0375,902.0375,141.3 HZ,*
ABILENE,FM,KC5OLO,14696,DOWN,146.2 HZ,*
ABILENE,FM,K5CCG,444.425,UP,146.2 HZ,*
ADDICKS,FM,N5ZUA,146.92,*,103.5 HZ,*
ADDICKS,FM,N5ZUA,446.025,*,123.0 HZ,*
ADDICKS,FM,N5ZUA,446.1,*,103.5 HZ,*
ADKINS,FM,KK5LA,444.775,UP,123.0 HZ,*
ALBANY,FM,KG5BU,147.22,UP,*,*
ALBANY,FM,N5TEQ,444.9,UP,114.8,*
ALEDO,FM,KA5HND,443.2,UP,110.9,*
ALLEN,DSTAR,K5PRKB,441.575,UP,*,*
ALLEN,DSTAR,K5PRKA,1258.6,*,*,*
ALLEN,DSTAR,K5PRKA,1293.5,1273.5,*,*
ALLEN,FM,WB5WPA,52.71,51.71,67.0 HZ,*
ALLEN,FM,WD5ERD,147.18,UP,107.2 HZ,*
ALLEN,FM,K5CRX,147.74,UP,*,*
ALLEN,FM,N5UIG,441.3,UP,179.9 HZ,*
ALLEN,FM,N5LTN,441.5,UP,110.9 HZ,*
ALLEN,FM,WB5WPA,442.55,UP,*,*
ALLEN,FM,K5PRK,444.25,UP,79.7 HZ,*
ALLEN,FM,WA5RCL,446.45,UP,*,*
ALPINE,FM,WT50,145.11,DOWN,127.3 HZ,*
ALPINE,FM,AD5BB,145.23,DOWN,146.2 HZ,*
ALPINE,FM,AD5BB,145.33,DOWN,146.2 HZ,*
ALPINE,FM,WB5RXA,145.58,*,88.5 HZ,*
ALPINE,FM,N5QIA,146.58,*,88.5 HZ,*
ALPINE,FM,AD5BB,146.72,DOWN,146.2 HZ,*
ALPINE,FM,K5RIC,146.94,DOWN,*,*
ALPINE,FM,N5DO,443,UP,*,*
ALPINE,FM,WX511,443.925,UP,*,*
ALPINE,FM,N5HYD,448,DOWN,*,*
ALTO,FM,KB2EF,223.78,DOWN,203.5 HZ,*
ALVARADO,FM,WD5GIC,443.225,UP,88.5 HZ,*
ALVIN,DMR/MARC,KA5AXV,444.75,UP,CC7,*
ALVIN,FM,KA5QDG,145.11,DOWN,123.0 HZ,*
ALVIN,FM,K5PLD,145.21,DOWN,167.9 HZ,*
ALVIN,FM,KA9JLM,145.25,DOWN,141.3 HZ,*
ALVIN,FM,KD5GR,147.28,UP,173.8 HZ,*
ALVIN,FM,KA5QDG,223.96,DOWN,103.5 HZ,*
ALVIN,FM,N5MJW,441.975,UP,110.9 HZ,*
ALVIN,FM,KA5QDG,442.2,UP,103.5 HZ,*
ALVIN,FM,KA9JLM,442.775,UP,141.3 HZ,*
ALVIN,FM,W5ITI,444.05,UP,103.5 HZ,* 
AMARILLO,FM,N5LUL,52.65,*,127.3 HZ,*
AMARILLO,FM,W5WX,146.66,DOWN,88.5 HZ,*
AMARILLO,FM,N5ZLU,146.74,DOWN,88.5 HZ,*
AMARILLO,FM,N5LTZ,146.92,DOWN,*,*
AMARILLO,FM,W5AMA,147.32,UP,*,*
AMARILLO,FM,WR9B,441.375,UP,88.5 HZ,*
AMARILLO,FM,N5LUL,441.65,445.65,*,*
AMARILLO,FM,KG5AUG,442.375,UP,*,*
AMARILLO,FM,N5LTZ,443.5,UP,*,*
AMARILLO,FM,N5LTZ,443.95,UP,*,*
AMARILLO,FM,N5LTZ,444.2,UP,88.5 HZ,*
AMARILLO,FM,AD5FD,449.55,DOWN,67.0 HZ,*
AMARILLO,FM,KA3IDN,927.162,902.162,151.4 HZ,*
AMARILLO,FUSION,W5WX,444.475,UP,*,*
ANAHUAC,FM,KD5MS,145.21,DOWN,*,*
ANAHUAC,FM,KK5XQ,145.33,DOWN,123.0 HZ,*
ANAHUAC,FM,KD5MS,441.725,UP,103.5 HZ,*
ANAHUAC,FM,KD5FLX,442.1,UP,103.5 HZ,*
ANAHUAC,FM,WB5UGT,444.875,UP,103.5 HZ,*
ANDERSON MILL,FM,KC5WLF,146.84,DOWN,103.5 HZ,*
ANDERSON MILL,FM,W2DB,441.35,UP,*,*
ANDERSON MILL,FM,WA6KGI,444.3,UP,*,*
ANDREWS,FM,KB5MBK,442.125,UP,146.2 HZ,*
ANGLETON,FM,N9QXT,147.18,UP,141.3 HZ,*
ANGLETON,FM,KE5WFD,442.3,UP,127.3 HZ,*
ANHALT,FM,W5DK,145.13,DOWN,131.8 HZ,*
ANTHONY,FM,N5ZRF,442.95,UP,67.0 HZ,*
ANTON,FM,KD5JTM,441.675,UP,100.0 HZ,*
ARCHER CITY,FM,W5GPO,146.84,DOWN,192.8 HZ,*
ARGYLE,FM,WB5NDJ,443.55,UP,110.9 HZ,*
ARLINGTON,DMR/MARC,KF5UGN,441.3375,UP,CC1,*
ARLINGTON,DMR/MARC,WD5DBB,443.4,UP,CC1,*
ARLINGTON,FM,WD5DBB,146.86,DOWN,110.9 HZ,*
ARLINGTON,FM,K5SLD,224.8,DOWN,110.9 HZ,*
ARLINGTON,FM,WB0LII,224.9,DOWN,110.9 HZ,*
ARLINGOTN,FM,NR5E,441.35,UP,*,*
ARLINGOTN,FM,N4MSE,442.75,UP,127.3 HZ,*
ARLINGOTN,FM,WA5VHU,443.85,UP,110.9 HZ,*
ARLINGTON,FM,N5GI,444.375,UP,127.3 HZ,*
ARLINGTON,FM,W5PSB,444.55,UP,*,*
ARLINGTON,FM,W5PSB,927.7375,902.7375,*,*
ASPERMONT,FM,KC5ATZ,444.7,UP,*,*
ATHENS,FM,K5EPH,147.22,UP,136.5 HZ,*
ATHENS,FM,KF5WT,443.3,UP,100.0 HZ,*
ATLANTA,FM,K5HCM,146.98,DOWN,100.0 HZ,*
ATLANTA,FM,K5HCM,443.3,UP,100.0 HZ,*
ATLANTA,FM,WX5FL,145.31,DOWN,100.0 HZ,*
AUBREY,DMR/MARC,K5RNB,443.45,UP,CC1,*
AUBREY,FM,K5RNB,145.23,DOWN,100.0 HZ,*
AUSTIN,DMR/BM,K5TRA,927.1875,902.1875,CC1,*
AUSTIN,DSTAR,W5KAC,146.78,DOWN,*,*
AUSTIN,DSTAR,W5KAB,440.65,DOWN,*,*
AUSTIN,DSTAR,W5KAA,1248.1,*,*,*
AUSTIN,DSTAR,W5KAA,1293.1,1273.1,*,*
AUSTIN,FM,W5FUA,52.65,51.65,*,*
AUSTIN,FM,WB5PCV,53.67,52.67,103.5 HZ,*
AUSTIN,FM,N1KM,145.37,DOWN,103.5 HZ,*
AUSTIN,FM,KB5O,145.45,DOWN,103.5 HZ,*
AUSTIN,FM,K5VPW,146.42,*,110.9 HZ,*
AUSTIN,FM,WB5PCV,146.61,DOWN,103.5 HZ,*
AUSTIN,FM,KE5ZW,146.68,DOWN,123.0 HZ,*
AUSTIN,FM,W5WXW,146.84,DOWN,103.5 HZ,*
AUSTIN,FM,N0GSZ,146.86,DOWN,146.2 HZ,*
AUSTIN,FM,W5FQR,146.88,DOWN,*,*
AUSTIN,FM,W5FQR,146.94,DOWN,107.2 HZ,*
AUSTIN,FM,K5ZSI,146.96,DOWN,*,*
AUSTIN,FM,K5VPW,147.32,UP,114.8 HZ,*
AUSTIN,FM,KD5EUO,147.51,*,67.0 HZ,*
AUSTIN,FM,W5HS,223.94,DOWN,*,*
AUSTIN,FM,W3MRC,224.6,DOWN,*,*
AUSTIN,FM,W5KA,224.8,DOWN,110.9 HZ,*
AUSTIN,FM,WB5PCV,224.94,DOWN,*,*
AUSTIN,FM,K5TRA,441.525,*,107.2 HZ,*
AUSTIN,FM,WB5AHN,441.55,UP,*,*
AUSTIN,FM,W5AAF,441.8,UP,*,*
AUSTIN,FM,KA9LAY,441.975,UP,97.4 HZ,*
AUSTIN,FM,W5TRI,442.025,UP,114.8 HZ,*
AUSTIN,FM,K5AB,442.2,UP,100.0 HZ,*
AUSTIN,FM,WB5AHN,442.35,UP,*,*
AUSTIN,FM,K5FX,442.4,UP,141.3 HZ,*
AUSTIN,FM,WB5UGT,442.45,UP,141.3 HZ,*
AUSTIN,FM,W5LNX,442.5,UP,162.2 HZ,*
AUSTIN,FM,K5TCR,442.6,UP,141.3 HZ,*
AUSTIN,FM,WA5VTV,443.8,UP,131.8 HZ,*
AUSTIN,FM,WB5PCV,444,UP,107.2 HZ,*
AUSTIN,FM,WA5YZD,444.1,UP,*,*
AUSTIN,FM,W5FUA,444.2,UP,103.5 HZ,*
AUSTIN,FM,WB5ICB,444.575,UP,*,*
AUSTIN,FM,W3MRC,444.6,UP,*,*
AUSTIN,FM,AA5R,444.775,UP,110.9 HZ,*
AUSTIN,FM,N5YEO,444.925,UP,100.0 HZ,*
AUSTIN,FM,N5RVD,444.95,UP,110.9 HZ,*
AUSTIN,FM,K5TRA,446.075,*,88.5 HZ,*
AUSTIN,FM,W5NFC,1292.4,1272.4,88.5 HZ,*
AUSTIN,FM,W5KA,146.94,DOWN,107.2 HZ,*
AUSTIN,FM,W5KA,444.2,UP,107.2 HZ,*
AUSTIN,FM,WA5VTV,147.36,UP,131.8 HZ,*
AUSTIN,FM,KE5PME,441.375,UP,186.2 HZ,*
AUSTIN,FM,N5MHI,1292.4,*,107.2 HZ,*
AUSTIN,FM,AA5BT,442.15,UP,186.2 HZ,*
AUSTIN,FM,N5ZUA,145.11,DOWN,103.5 HZ,*
